GBPAUD,201908010122,1.771070,1.771160,1.771010,1.771120,0
GBPAUD,201908010123,1.771100,1.771170,1.771090,1.771120,0
GBPAUD,201908010124,1.771170,1.771170,1.771050,1.771050,0
GBPAUD,201908010125,1.771090,1.771220,1.770970,1.771170,0
GBPAUD,201908010126,1.771120,1.771160,1.771070,1.771110,0
GBPAUD,201908010127,1.771090,1.771160,1.771020,1.771020,0
GBPAUD,201908010128,1.771020,1.771020,1.770910,1.770970,0
GBPAUD,201908010129,1.770910,1.771070,1.770860,1.771070,0
GBPAUD,201908010130,1.771010,1.771110,1.770960,1.771090,0
GBPAUD,201908010131,1.771150,1.771270,1.771150,1.771240,0
GBPAUD,201908010132,1.771230,1.771320,1.771200,1.771320,0
GBPAUD,201908010133,1.771320,1.771340,1.771210,1.771220,0
GBPAUD,201908010134,1.771240,1.771240,1.771110,1.771110,0
GBPAUD,201908010135,1.771120,1.771170,1.770970,1.771010,0
GBPAUD,201908010136,1.770960,1.770960,1.770870,1.770870,0
GBPAUD,201908010137,1.770870,1.770970,1.770720,1.770720,0
GBPAUD,201908010138,1.770710,1.770770,1.770680,1.770760,0
GBPAUD,201908010139,1.770720,1.770970,1.770720,1.770820,0
GBPAUD,201908010140,1.770770,1.770920,1.770740,1.770920,0
GBPAUD,201908010141,1.770910,1.770970,1.770710,1.770760,0
GBPAUD,201908010142,1.770760,1.770820,1.770620,1.770670,0
GBPAUD,201908010143,1.770670,1.770720,1.770650,1.770720,0
GBPAUD,201908010144,1.770710,1.770720,1.770560,1.770560,0
GBPAUD,201908010145,1.770540,1.770570,1.770190,1.770320,0
GBPAUD,201908010146,1.770270,1.770470,1.770260,1.770310,0
GBPAUD,201908010147,1.770370,1.770490,1.770220,1.770390,0
GBPAUD,201908010148,1.770380,1.770620,1.770330,1.770610,0
GBPAUD,201908010149,1.770610,1.770610,1.770460,1.770480,0
GBPAUD,201908010150,1.770460,1.770720,1.770460,1.770610,0
GBPAUD,201908010151,1.770640,1.770720,1.770530,1.770530,0
GBPAUD,201908010152,1.770570,1.770570,1.770410,1.770410,0
GBPAUD,201908010153,1.770420,1.770670,1.770370,1.770670,0
GBPAUD,201908010154,1.770670,1.770720,1.770540,1.770540,0
GBPAUD,201908010155,1.770520,1.770770,1.770490,1.770710,0
GBPAUD,201908010156,1.770710,1.770760,1.770520,1.770520,0
GBPAUD,201908010157,1.770520,1.770770,1.770520,1.770670,0
GBPAUD,201908010158,1.770720,1.770720,1.770610,1.770670,0
GBPAUD,201908010159,1.770670,1.770710,1.770520,1.770560,0
GBPAUD,201908010200,1.770570,1.770570,1.770060,1.770170,0
GBPAUD,201908010201,1.770110,1.770270,1.769860,1.770060,0
GBPAUD,201908010202,1.770060,1.770210,1.770020,1.770210,0
GBPAUD,201908010203,1.770210,1.770580,1.770080,1.770560,0
GBPAUD,201908010204,1.770520,1.770660,1.770360,1.770660,0
GBPAUD,201908010205,1.770630,1.770820,1.770510,1.770610,0
GBPAUD,201908010206,1.770560,1.770660,1.770470,1.770590,0
GBPAUD,201908010207,1.770600,1.770660,1.770340,1.770520,0
GBPAUD,201908010208,1.770520,1.770670,1.770410,1.770570,0
GBPAUD,201908010209,1.770520,1.770570,1.770420,1.770560,0
GBPAUD,201908010210,1.770560,1.770670,1.770440,1.770610,0
GBPAUD,201908010211,1.770570,1.770570,1.770320,1.770470,0
