<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.01	02:16:00	1.77491	1.77505	1.77473	1.77503	20	0	40
2019.08.01	02:17:00	1.77503	1.77504	1.77487	1.77489	19	0	36
2019.08.01	02:18:00	1.77489	1.77489	1.77468	1.77468	15	0	39
2019.08.01	02:19:00	1.77468	1.77524	1.77447	1.77503	80	0	30
2019.08.01	02:20:00	1.77504	1.77525	1.77485	1.77494	22	0	41
2019.08.01	02:21:00	1.77489	1.77503	1.77483	1.77500	22	0	35
2019.08.01	02:22:00	1.77507	1.77507	1.77492	1.77500	8	0	43
2019.08.01	02:23:00	1.77499	1.77527	1.77462	1.77473	26	0	44
2019.08.01	02:24:00	1.77476	1.77481	1.77453	1.77481	46	0	36
2019.08.01	02:25:00	1.77476	1.77481	1.77450	1.77473	31	0	40
2019.08.01	02:26:00	1.77473	1.77492	1.77472	1.77482	28	0	47
2019.08.01	02:27:00	1.77482	1.77483	1.77462	1.77468	30	0	43
2019.08.01	02:28:00	1.77468	1.77486	1.77459	1.77485	28	0	41
2019.08.01	02:29:00	1.77485	1.77492	1.77478	1.77488	22	0	46
2019.08.01	02:30:00	1.77488	1.77488	1.77477	1.77479	29	0	42
2019.08.01	02:31:00	1.77479	1.77479	1.77467	1.77467	19	0	45
2019.08.01	02:32:00	1.77468	1.77468	1.77449	1.77462	21	0	31
2019.08.01	02:33:00	1.77462	1.77470	1.77456	1.77458	17	0	41
2019.08.01	02:34:00	1.77457	1.77481	1.77457	1.77481	11	0	45
2019.08.01	02:35:00	1.77478	1.77480	1.77476	1.77479	17	0	48
2019.08.01	02:36:00	1.77479	1.77479	1.77467	1.77467	14	0	46
2019.08.01	02:37:00	1.77467	1.77471	1.77459	1.77460	11	0	45
2019.08.01	02:38:00	1.77462	1.77471	1.77450	1.77471	16	0	45
2019.08.01	02:39:00	1.77471	1.77475	1.77470	1.77473	13	0	46
2019.08.01	02:40:00	1.77472	1.77472	1.77446	1.77447	21	0	48
2019.08.01	02:41:00	1.77447	1.77447	1.77426	1.77428	21	0	46
2019.08.01	02:42:00	1.77428	1.77453	1.77412	1.77443	28	0	45
2019.08.01	02:43:00	1.77443	1.77472	1.77424	1.77426	29	0	46
2019.08.01	02:44:00	1.77426	1.77426	1.77390	1.77390	32	0	45
2019.08.01	02:45:00	1.77390	1.77406	1.77390	1.77404	26	0	47
2019.08.01	02:46:00	1.77404	1.77406	1.77390	1.77406	17	0	41
2019.08.01	02:47:00	1.77406	1.77436	1.77406	1.77429	19	0	41
2019.08.01	02:48:00	1.77429	1.77467	1.77429	1.77462	28	0	44
2019.08.01	02:49:00	1.77462	1.77462	1.77436	1.77460	27	0	42
2019.08.01	02:50:00	1.77460	1.77475	1.77451	1.77474	43	0	41
2019.08.01	02:51:00	1.77476	1.77489	1.77461	1.77461	22	0	43
2019.08.01	02:52:00	1.77474	1.77489	1.77474	1.77488	13	0	45
2019.08.01	02:53:00	1.77488	1.77490	1.77484	1.77490	22	0	40
2019.08.01	02:54:00	1.77490	1.77491	1.77486	1.77488	11	0	40
2019.08.01	02:55:00	1.77488	1.77491	1.77488	1.77488	3	0	40
2019.08.01	02:56:00	1.77488	1.77490	1.77488	1.77490	4	0	41
